Clasificación,Total de personas,Contar recuerdos bonitos o historias graciosas,Jugar juegos de mesa,Jugar mejenga,Participar en juegos tradicionales
Costa Rica,3 715 140,72.4,51.6,45.2,41
,,,,,
Zona,,,,,
Urbana,2 723 783,73,54.4,44.7,42.2
Rural, 991 357,70.8,43.9,46.6,37.8
,,,,,
Región de planificación,,,,,
Central,2 403 276,75.8,54.9,43.1,42
Chorotega, 238 122,58.3,48.7,54.6,43.4
Pacífico Central, 184 929,59.2,23.3,37.5,26.2
Brunca, 266 492,79.8,42.6,47.5,36.6
Huetar Caribe, 313 703,56.1,50,50.7,43
Huetar Norte, 308 618,75.3,54.3,51.9,41.8
,,,,,
Sexo,,,,,
Hombres,1 905 706,68.7,51.4,63.5,37.2
Mujeres,1 809 434,76.4,51.8,26,45.1
,,,,,
Grupo de edad,,,,,
De 5 a 11 años, 510 053,52.3,54.9,64.6,88.5
De 12 a 17 años, 439 819,65.6,66.1,71.5,54.9
De 18 a 35 años,1 342 174,72.7,53.1,49.1,34.1
De 36 a 64 años,1 195 858,80.3,46.9,30,28.5
De 65 años y más, 227 236,88.1,32.5,7.7,14.5
,,,,,
Nivel de instrucción,,,,,
Sin instrucción, 258 397,57.1,42,53.1,69.8
Primaria 4/,1 404 731,69.8,46.1,45.5,42.6
Secundaria 4/,1 339 939,73.3,52.2,47,34.7
Superior 4/, 712 073,81.6,65,38.6,39.2
